date,latitude,longitude,rainfall_mm,max_temperature_c,completeness_score,anomaly_score
2025,7.0,42.0,3.654721975326538,31.251386642456055,1.0,-0.4142606258392334
2025,7.0,43.0,2.103602647781372,31.251386642456055,1.0,-1.376335620880127
2025,7.0,44.0,2.913848876953125,32.969940185546875,1.0,0.6205470561981201
2025,7.0,45.0,3.199941396713257,32.969940185546875,1.0,0.8154141902923584
2025,8.0,41.0,5.891756057739258,31.251386642456055,1.0,-0.1120753288269043
2025,8.0,42.0,5.056922912597656,31.251386642456055,1.0,-0.21323633193969727
2025,8.0,43.0,4.022002220153809,31.251386642456055,1.0,-0.2570371627807617
2025,8.0,44.0,2.6816518306732178,32.969940185546875,1.0,0.6240968704223633
2025,8.0,45.0,3.483630895614624,32.969940185546875,1.0,1.0806572437286377
2025,8.0,46.0,3.326606273651123,32.969940185546875,1.0,0.6224474906921387
2025,9.0,40.0,5.372523307800293,31.442522048950195,1.0,-0.17439985275268555
2025,9.0,41.0,6.514415740966797,31.442522048950195,1.0,0.11919975280761719
2025,9.0,42.0,4.565906524658203,31.442522048950195,1.0,-0.36957693099975586
2025,9.0,43.0,3.0958874225616455,31.442522048950195,1.0,0.026018619537353516
2025,9.0,44.0,2.2486207485198975,31.710996627807617,1.0,-0.3043355941772461
2025,9.0,45.0,2.026948928833008,31.710996627807617,1.0,-0.1653749942779541
2025,9.0,46.0,2.4236364364624023,31.710996627807617,1.0,0.06647181510925293
2025,10.0,40.0,7.086193084716797,31.442522048950195,1.0,0.32440996170043945
2025,10.0,41.0,8.343560218811035,31.442522048950195,1.0,0.6352014541625977
2025,10.0,42.0,6.068462371826172,31.442522048950195,1.0,-0.4726576805114746
2025,10.0,43.0,3.54594349861145,31.442522048950195,1.0,0.4498138427734375
2025,10.0,44.0,2.171729326248169,31.710996627807617,1.0,0.09514045715332031
2025,10.0,45.0,1.8055119514465332,31.710996627807617,1.0,-0.34502744674682617
2025,10.0,46.0,1.7161104679107666,31.710996627807617,1.0,-0.08824598789215088
2025,11.0,39.0,8.059661865234375,30.60263442993164,1.0,1.3808627128601074
2025,11.0,40.0,9.130157470703125,31.442522048950195,1.0,0.8043365478515625
2025,11.0,41.0,9.827942848205566,31.442522048950195,1.0,0.22182464599609375
2025,11.0,42.0,4.21848726272583,31.442522048950195,1.0,-0.04290914535522461
2025,11.0,43.0,2.6838207244873047,31.442522048950195,1.0,-0.09533143043518066
2025,11.0,44.0,2.538612127304077,31.710996627807617,1.0,0.36974334716796875
2025,11.0,45.0,2.017435073852539,31.710996627807617,1.0,-0.4420177936553955
2025,11.0,46.0,1.4301154613494873,31.710996627807617,1.0,-0.4465363025665283
2025,11.0,47.0,2.1394124031066895,31.710996627807617,1.0,-0.10766124725341797
2025,11.0,48.0,1.9988070726394653,32.45075225830078,1.0,0.20351803302764893
2025,11.0,49.0,2.772001028060913,32.45075225830078,1.0,0.36992406845092773
2025,11.0,51.0,4.45457649230957,32.45075225830078,1.0,1.1836950778961182
2025,12.0,39.0,8.215177536010742,30.60263442993164,1.0,0.23681116104125977
2025,12.0,40.0,9.227423667907715,31.442522048950195,1.0,-0.09972190856933594
2025,12.0,41.0,11.753425598144531,31.442522048950195,1.0,0.666010856628418
2025,12.0,42.0,7.633214950561523,31.442522048950195,1.0,-0.5100488662719727
2025,12.0,43.0,2.6391074657440186,31.442522048950195,1.0,-0.25696754455566406
2025,12.0,44.0,2.4200327396392822,31.710996627807617,1.0,-0.5477359294891357
2025,12.0,45.0,2.1026430130004883,31.710996627807617,1.0,-0.38048458099365234
2025,12.0,46.0,2.1021440029144287,31.710996627807617,1.0,-0.22205471992492676
2025,12.0,47.0,2.1989569664001465,31.710996627807617,1.0,-0.30944037437438965
2025,12.0,48.0,2.1645123958587646,32.45075225830078,1.0,-0.58321213722229
2025,12.0,49.0,2.5480546951293945,32.45075225830078,1.0,-0.03430676460266113
2025,12.0,50.0,4.294520854949951,32.45075225830078,1.0,1.0628554821014404
2025,12.0,51.0,4.2111287117004395,32.45075225830078,1.0,0.9845242500305176
2025,13.0,39.0,8.855759620666504,29.424036026000977,1.0,-0.9501190185546875
2025,13.0,40.0,10.772326469421387,28.81805419921875,1.0,1.341008186340332
