alpha,n,propagation_rate,ci_low,ci_high
0.0,245,0.563265306122449,0.5020408163265306,0.6204081632653061
0.1,245,0.5714285714285714,0.5061224489795918,0.628673469387755
0.25,245,0.5673469387755102,0.5061224489795918,0.6244897959183674
0.5,245,0.6122448979591837,0.5510204081632653,0.6693877551020408
0.75,245,0.6448979591836734,0.5877551020408164,0.7061224489795919
0.9,245,0.6816326530612244,0.6244897959183674,0.7307142857142856
0.95,245,0.6816326530612244,0.6244897959183674,0.7428571428571429
0.99,245,0.689795918367347,0.6244897959183674,0.746938775510204
