alpha,n,propagation_rate,ci_low,ci_high
0.0,245,0.563265306122449,0.5020408163265306,0.6204081632653061
0.1,245,0.5591836734693878,0.49785714285714283,0.6204081632653061
0.25,245,0.5306122448979592,0.46122448979591835,0.5878571428571429
0.5,245,0.46122448979591835,0.3998979591836735,0.5224489795918368
0.75,245,0.4204081632653061,0.3551020408163265,0.4816326530612245
0.9,245,0.4122448979591837,0.3510204081632653,0.4735714285714285
0.95,245,0.4122448979591837,0.3551020408163265,0.46948979591836726
0.99,245,0.4122448979591837,0.3551020408163265,0.4775510204081633
